,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
2FBD_Annual_Days in Period,365,,365,,,,,,,,,365,,,365,,,365,365,365,365,,,,,,,,,,,,,,,365,,365,,,365,,,,,,,,,,,365,,,,365,,,,,,,,,,,365,,,,,,,,,,,,,,,,,365,,,,,,,365,,,,,,,365,365,,,,
2FBD_Annual_Fuel Cost,"$32,141",,"$11,386",,,,,,,,,"$8,308",,,"$9,676",,,"$6,943","$10,356","$3,953","$3,441",,,,,,,,,,,,,,,"$10,433",,"$21,658",,,"$9,590",,,,,,,,,,,"$11,094",,,,"$10,464",,,,,,,,,,,"$34,283",,,,,,,,,,,,,,,,,"$11,701",,,,,,,"$3,181",,,,,,,"$12,552","$1,559",,,,
2FBD_Annual_OilUsage(Gallons),"9,892",,"3,462",,,,,,,,,"2,049",,,"2,790",,,"2,314","3,624","1,453","1,285",,,,,,,,,,,,,,,"2,499",,"5,858",,,"3,120",,,,,,,,,,,"7,001",,,,"3,105",,,,,,,,,,,"14,221",,,,,,,,,,,,,,,,,"2,887",,,,,,,850,,,,,,,"3,416",373,,,,
2FBD_Annual_TRC Estimated Usage?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2FBD_M10_Days in Period,14,,21,,,,,,,,,14,,,,,,,17,,,,,,,,,,,,,,,,,,,13,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,
2FBD_M10_Fuel Cost,"$1,575",,"$1,291",,,,,,,,,$598,,,,,,,$818,,,,,,,,,,,,,,,,,,,"$2,752",,,"$2,957",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,110",,,,,
2FBD_M10_OilUsage(Gallons),500,,556,,,,,,,,,166,,,,,,,301,,,,,,,,,,,,,,,,,,,706,,,970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,
2FBD_M10_Period Ending,11/18/14,,1/30/15,,,,,,,,,11/28/14,,,,,,,3/22/15,,,,,,,,,,,,,,,,,,,3/4/15,,,2/27/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/12/14,,,,,
2FBD_M10_TRC Estimated Usage?,,,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2FBD_M11_Days in Period,15,,20,,,,,,,,,14,,,,,,,20,,,,,,,,,,,,,,,,,,,19,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,,
2FBD_M11_Fuel Cost,"$1,824",,"$1,567",,,,,,,,,$568,,,,,,,$792,,,,,,,,,,,,,,,,,,,"$1,527",,,"$1,919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$960,,,,,
2FBD_M11_OilUsage(Gallons),600,,570,,,,,,,,,172,,,,,,,300,,,,,,,,,,,,,,,,,,,437,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,
2FBD_M11_Period Ending,12/3/14,,2/19/15,,,,,,,,,12/12/14,,,,,,,4/11/15,,,,,,,,,,,,,,,,,,,3/23/15,,,3/27/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/25/14,,,,,
2FBD_M11_TRC Estimated Usage?,,,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2FBD_M12_Days in Period,14,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,
2FBD_M12_Fuel Cost,"$5,230",,,,,,,,,,,$471,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,281",,,$900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$755,,,,,
2FBD_M12_OilUsage(Gallons),"1,720",,,,,,,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,382,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,
2FBD_M12_Period Ending,12/17/14,,,,,,,,,,,12/26/14,,,,,,,,,,,,,,,,,,,,,,,,,,4/10/15,,,4/27/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/15/14,,,,,
2FBD_M12_TRC Estimated Usage?,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2FBD_M1_Days in Period,15,,36,,,,,,,,,4,,,215,,,215,,232,206,,,,,,,,,,,,,,,48,,194,,,,,,,,,,,,,,279,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,,,,,,,33,,,,,,,,46,,,,
2FBD_M1_Fuel Cost,"$2,841",,"$2,331",,,,,,,,,$421,,,"$1,078",,,$783,,$315,$609,,,,,,,,,,,,,,,"$2,485",,"$2,404",,,,,,,,,,,,,,"$2,314",,,,"$1,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,$226,,,,,,,$561,,,,,,,,$615,,,,
2FBD_M1_OilUsage(Gallons),852,,646,,,,,,,,,100,,,289,,,237,,101,194,,,,,,,,,,,,,,,565,,587,,,,,,,,,,,,,,"2,500",,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,150,,,,,,,,150,,,,
2FBD_M1_Period Ending,1/21/14,,3/26/13,,,,,,,,,1/15/14,,,9/30/14,,,11/19/14,,11/6/14,11/6/14,,,,,,,,,,,,,,,2/1/14,,10/22/14,,,,,,,,,,,,,,12/13/14,,,,3/26/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/1/13,,,,,,,12/11/13,,,,,,,,3/19/13,,,,
2FBD_M1_TRC Estimated Usage?,,,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,
2FBD_M2_Days in Period,28,,227,,,,,,,,,16,,,76,,,28,171,37,36,,,,,,,,,,,,,,,18,,29,,,,,,,,,,,,,,52,,,,35,,,,,,,,,,,66,,,,,,,,,,,,,,,,,41,,,,,,,37,,,,,,,,263,,,,
2FBD_M2_Fuel Cost,"$4,355",,"$1,600",,,,,,,,,"$1,239",,,"$2,615",,,"$1,173","$1,345",$796,$569,,,,,,,,,,,,,,,"$4,399",,"$1,618",,,,,,,,,,,,,,"$4,909",,,,"$1,827",,,,,,,,,,,$203.86,,,,,,,,,,,,,,,,,"$1,654",,,,,,,$586,,,,,,,,$616,,,,
