,AnnualElectricSavings(kWh),AnnualGasSavings(Therms),AnnualOilSavings(Gallons),Cost-WeightedLifetime,ECM#,EnergyConservationMeasure,EstimatedAnnual$Savings,EstimatedInstallationCost,EstimatedNYSERDAIncentives,EstimatedPSEGLIIncentives,Life-CycleCostSavings,Life-CycleCostSavingsAfterIncentives,PeakDemandSavings(kW),ROIAfterIncentives,SimplePayback(Years),SimplePaybackAfterIncentive(Years),address,Input.borough,Input.address,Answer.bbl,Answer.x,Answer.y
0,0,,276.5,,1,Weatherization Improvements,$750,"$5,200",,,$67,,,1%,6.93,,"974 E 167th St., Bronx, NY, 10459",Bronx,"974 E 167th St., Bronx, NY, 10459",,1014358,240515
1,"2,314",,0.0,,2,Lighting Upgrades,$609,"$1,802",,,"$5,466",,,303%,2.96,,"974 E 167th St., Bronx, NY, 10459",Bronx,"974 E 167th St., Bronx, NY, 10459",,1014358,240515
2,0,,6.7,,3,Low Flow Aerators,$18,$10,,,$146,,,1458%,0.55,,"974 E 167th St., Bronx, NY, 10459",Bronx,"974 E 167th St., Bronx, NY, 10459",,1014358,240515
3,"3,552",0.0,0.0,,1,Install Efficient Lighting & Controls,$873,"$1,410",,,"$8,735",,,619%,1.62,,"985 E 167th St, Bronx, NY, 10459",Bronx,"985 E 167th St, Bronx, NY, 10459",2027520002.0,1014497,240604
4,"2,063",0.0,0.0,,2,Window Unit Replacements,$507,"$3,887",,,$60,,,2%,7.67,,"985 E 167th St, Bronx, NY, 10459",Bronx,"985 E 167th St, Bronx, NY, 10459",2027520002.0,1014497,240604
5,0,"-3,040.4","2,967.9",,3,Boiler Replacement,"$3,345","$26,562",,,"$1,970",,,7%,7.94,,"985 E 167th St, Bronx, NY, 10459",Bronx,"985 E 167th St, Bronx, NY, 10459",2027520002.0,1014497,240604
6,0,61.9,0.0,,4,Hot Water Conservation,$104,$110,,,$780,,,709%,1.05,,"985 E 167th St, Bronx, NY, 10459",Bronx,"985 E 167th St, Bronx, NY, 10459",2027520002.0,1014497,240604
7,"1,525",0.0,0.0,,5,Refrigeration Equipment Replacements,$375,"$1,220",,,"$2,510",,,206%,3.26,,"985 E 167th St, Bronx, NY, 10459",Bronx,"985 E 167th St, Bronx, NY, 10459",2027520002.0,1014497,240604
8,0,361.6,,,1,Weather-S trip Exterior Doors,$294,"$1,500",$0,,$327,$327,,22%,5.10,5.10,"2075 East 68th Street, Brooklyn, NY, 11234",Brooklyn,"2075 East 68th Street, Brooklyn, NY, 11234",3084090001.0,1009338,164760
9,0,361.6,,,1,Weather-S trip Exterior Doors,$294,"$1,500",$0,,$327,$327,,22%,5.10,5.10,"2075 East 68th Street, Brooklyn, NY, 11234",Brooklyn,"2075 East 68th Street, Brooklyn, NY, 11234",3084090001.0,1009173,164758
