,% of Annual Energy Cost,Annual ROI after incentives,Cost,Description,Estimated Annual Savings,Life Cycle Savings after Incentive,Payback (Years),Payback after NYSERDA incentive (Years),Potential NYSERDA incentive,SIR after incentive,Total Annual Gallons of Oil Reduced,Total Annual Therms Reduced,Total Annual kWh Reduction,Total kW Reduction,address,Input.borough,Input.address,Answer.bbl,Answer.x,Answer.y
0,8.83%,220.10%,$425 ,Optimize Temperature Setpoint Schedule,$935 ,"$8,230 ",,0.5,-,20.4,348,-,-,-,"Energy Assessment For: New St. John Baptist Church, 2409 Lorillard Place, Bronx NY, 10458",Bronx,"Energy Assessment For: New St. John Baptist Church, 2409 Lorillard Place, Bronx NY, 10458",2030560051,1014899,251410
1,2.82%,199.30%,$150 ,Insulate Steam Piping,$299 ,"$2,616 ",,0.5,-,18.4,111,-,-,-,"Energy Assessment For: New St. John Baptist Church, 2409 Lorillard Place, Bronx NY, 10458",Bronx,"Energy Assessment For: New St. John Baptist Church, 2409 Lorillard Place, Bronx NY, 10458",2030560051,1014899,251410
2,<1%,105.60%,$100 ,Reduce Building Envelope Infiltration Losses,$106 ,$641 ,,0.9,-,7.4,39,-,-,-,"Energy Assessment For: New St. John Baptist Church, 2409 Lorillard Place, Bronx NY, 10458",Bronx,"Energy Assessment For: New St. John Baptist Church, 2409 Lorillard Place, Bronx NY, 10458",2030560051,1014899,251410
3,8.46%,7.30%,"$12,320 ",Replace Windows,$896 ,"$1,004 ",,13.8,-,1.1,333,-,-,-,"Energy Assessment For: New St. John Baptist Church, 2409 Lorillard Place, Bronx NY, 10458",Bronx,"Energy Assessment For: New St. John Baptist Church, 2409 Lorillard Place, Bronx NY, 10458",2030560051,1014899,251410
4,<1%,9.20%,$990 ,Replace Cooling Equipment,$91 ,$99 ,,10.9,-,1.1,-,-,365,0.9,"Energy Assessment For: New St. John Baptist Church, 2409 Lorillard Place, Bronx NY, 10458",Bronx,"Energy Assessment For: New St. John Baptist Church, 2409 Lorillard Place, Bronx NY, 10458",2030560051,1014899,251410
5,4.14%,36.80%,"$3,978 ",Upgrade the Lighting to LED Lighting,$439 ,"$4,047 ",,2.7,"$2,785 ",4.4,-32,-,"2,104",1.3,"Energy Assessment For: New St. John Baptist Church, 2409 Lorillard Place, Bronx NY, 10458",Bronx,"Energy Assessment For: New St. John Baptist Church, 2409 Lorillard Place, Bronx NY, 10458",2030560051,1014899,251410
6,7.27%,59.30%,"$5,078 ",Upgrade the Lighting to LED Lighting,$903 ,"$9,257 ",,1.7,"$3,555 ",7.1,,-88,"4,358",1.1,"Energy Assessment For: Northwest Bronx Community & Clergy Coalition, 103 E. 196th St., Bronx, NY 10468",Bronx,"Energy Assessment For: Northwest Bronx Community & Clergy Coalition, 103 E. 196th St., Bronx, NY 10468",2033150001,1013571,255649
7,<1%,34.60%,$190 ,Implement Lighting Controls,$66 ,$272 ,,2.9,-,2.4,,-,387,-,"Energy Assessment For: Northwest Bronx Community & Clergy Coalition, 103 E. 196th St., Bronx, NY 10468",Bronx,"Energy Assessment For: Northwest Bronx Community & Clergy Coalition, 103 E. 196th St., Bronx, NY 10468",2033150001,1013571,255649
8,9.86%,58.40%,"$2,095 ",Optimize Temperature Setpoint Schedule and HW Distribution System,"$1,224 ","$9,234 ",,1.7,-,5.4,,"1,145",127,-,"Energy Assessment For: Northwest Bronx Community & Clergy Coalition, 103 E. 196th St., Bronx, NY 10468",Bronx,"Energy Assessment For: Northwest Bronx Community & Clergy Coalition, 103 E. 196th St., Bronx, NY 10468",2033150001,1013571,255649
9,4.00%,150.40%,$330 ,Reduce Building Envelope Infiltration Losses,$496 ,"$3,154 ",,0.7,-,10.6,,401,441,-,"Energy Assessment For: Northwest Bronx Community & Clergy Coalition, 103 E. 196th St., Bronx, NY 10468",Bronx,"Energy Assessment For: Northwest Bronx Community & Clergy Coalition, 103 E. 196th St., Bronx, NY 10468",2033150001,1013571,255649
